College Name,City,State,Score,Rank
Hindu College,Delhi,Delhi,74.47,1
Miranda House,Delhi,Delhi,73.22,2
Rama Krishna Mission Vivekananda Centenary College,Kolkata,West Bengal,72.97,3
St. Stephens's College,Delhi,Delhi,72.97,3
Atma Ram Sanatan Dharm College,New Delhi,Delhi,72.59,5
St. Xavier`s College,Kolkata,West Bengal,72.15,6
PSGR Krishnammal College for Women,Coimbatore,Tamil Nadu,72.09,7
Loyola College,Chennai,Tamil Nadu,70.74,8
Kirori Mal College,Delhi,Delhi,69.86,9
Lady Shri Ram College for Women,New Delhi,Delhi,69.49,10
PSG College of Arts and Science,Coimbatore,Tamil Nadu,69.06,11
Hans Raj College,Delhi,Delhi,68.76,12
Presidency College,Chennai,Tamil Nadu,68.36,13
Madras Christian College,Chennai,Tamil Nadu,67.41,14
Thiagarajar College,Madurai,Tamil Nadu,66.82,15
Deshbandhu College,New Delhi,Delhi,66.03,16
Ramakrishna Mission Vidyamandira,Howrah,West Bengal,65.51,17
Acharya Narendra Dev College,New Delhi,Delhi,64.73,18
Shri Ram College of Commerce,Delhi,Delhi,64.56,19
Rajagiri College of Social Sciences,Ernakulam,Kerala,64.22,20
Sri Venkateswara College,Delhi,Delhi,63.98,21
"University College, Thiruvananthapuram",Thiruvananthapuram,Kerala,63.65,22
Lady Irwin College,Delhi,Delhi,63.27,23
Ramakrishna Mission Residential College,Kolkata,West Bengal,62.78,24
"St. Joseph's College, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,62.73,25
Deen Dayal Upadhyaya College,New Delhi,Delhi,62.47,26
Bhaskaracharya College of Applied Sciences,New Delhi,Delhi,61.55,27
V.O. Chidambaram College,Thoothukudi,Tamil Nadu,60.80,28
Maitreyi College,New Delhi,Delhi,59.60,29
Stella Maris College for Women,Chennai,Tamil Nadu,59.51,30
Gargi College,Delhi,Delhi,59.28,31
Midnapore College,Midnapore,West Bengal,58.91,32
Bishop Heber College,Tiruchirappalli,Tamil Nadu,58.61,33
Dyal Singh College,New Delhi,Delhi,58.55,34
Pachhunga University College,Aizawl,Mizoram,58.24,35
"St. Xavier's College, Palayamkottai",Palayamkottai,Tamil Nadu,58.23,36
Sri Krishna Arts and Science College,Coimbatore,Tamil Nadu,58.22,37
Shaheed Rajguru College of Applied Sciences for Women,Delhi,Delhi,58.18,38
Sri Guru Gobind Singh College of Commerce,Delhi,Delhi,57.79,39
Jesus & Mary College,New Delhi,Delhi,57.79,39
"Holy Cross College, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,57.53,41
"Nesamony Memorial Christian College, Marthandam, Kanyakumari Dist.",Marthandam,Tamil Nadu,57.03,42
Kamala Nehru College,Delhi,Delhi,56.95,43
Dhanalakshmi Srinivasan College of Arts and Science for Women,Perambalur,Tamil Nadu,56.91,44
Fergusson College (Autonomous),Pune,Maharashtra,56.77,45
"St. Teresa's College, Ernakulam",Ernakulam,Kerala,56.71,46
Sacred Heart College (Autonomous),Tirupattur,Tamil Nadu,56.43,47
Sacred Heart College,Kochi,Kerala,56.31,48
"Govt. College for Women, Thiruvananthapuram",Thiruvananthapuram,Kerala,56.11,49
Shivaji College,Delhi,Delhi,56.11,49
