College Name,City,State,Score,Rank
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,81.83,1
"Manipal College of Dental Sciences, Manipal",Manipal,Karnataka,76.03,2
Maulana Azad Institute of Dental Sciences,Delhi,Delhi,74.39,3
King George`s Medical University,Lucknow,Uttar Pradesh,72.36,4
Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,72.25,5
A.B.Shetty Memorial Institute of Dental Sciences,Mangaluru,Karnataka,70.14,6
SRM Dental College,Chennai,Tamil Nadu,69.18,7
Jamia Millia Islamia,New Delhi,Delhi,64.38,8
Siksha `O` Anusandhan,Bhubaneswar,Odisha,63.26,9
Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,62.40,10
"Manipal College of Dental Sciences, Mangalore",Mangaluru,Karnataka,62.07,11
JSS Dental College and Hospital,Mysuru,Karnataka,60.57,12
Meenakshi Academy of Higher Education and Research,Chennai,Tamil Nadu,59.07,13
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,58.98,14
"Govt. Dental College, Nagpur",Nagpur,Maharashtra,58.50,15
M.S. Ramaiah University of Applied Sciences,Bengaluru,Karnataka,57.98,16
Banaras Hindu University,Varanasi,Uttar Pradesh,55.69,17
Aligarh Muslim University,Aligarh,Uttar Pradesh,55.33,18
"Government Dental College, Bangalore",Bengaluru,Karnataka,54.95,19
Dr. M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,54.52,20
Government Dental College,Thiruvananthapuram,Kerala,53.91,21
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,53.89,22
Postgraduate Institute of Dental Sciences,Rohtak,Haryana,53.78,23
Datta Meghe Institute of Higher Education and Research,Wardha,Maharashtra,53.64,24
"Govt. Dental College, Mumbai",Mumbai,Maharashtra,53.54,25
Yenepoya Dental College,Mangaluru,Karnataka,53.32,26
Panjab University,Chandigarh,Chandigarh,52.99,27
Nair Hospital Dental College,Mumbai,Maharashtra,52.92,28
KLE Vishwanath Katti Institute of Dental Sciences,Belgaum,Karnataka,52.84,29
Christian Dental College,Ludhiana,Punjab,52.72,30
SDM College of Dental Sciences & Hospital,Dharwad,Karnataka,52.67,31
SRM Kattankulathur Dental College,Chennai,Tamil Nadu,52.13,32
Chettinad Dental College and Research Institute,Kelambakkam,Tamil Nadu,51.71,33
Government Dental College,Ahmedabad,Gujarat,51.60,34
Mahatma Gandhi P.G. Institute of Dental Sciences,Pondicherry,Pondicherry,51.39,35
"Bharati Vidyapeeth (Deemed to be University) Dental College and Hospital, Pune",Pune,Maharashtra,51.06,36
Bapuji Dental College & Hospital,Davangere,Karnataka,50.86,37
Manav Rachna International Institute of Research and Studies,Faridabad,Haryana,49.88,38
"Adhiparasakthi Dental College and Hospital, Kancheepuram",Melmaruvathur,Tamil Nadu,49.44,39
Army College of Dental Sciences,Secunderabad,Telangana,49.38,40
