College Name,City,State,Score,Rank
Indian Institute of Technology Madras,Chennai,Tamil Nadu,89.46,1
Indian Institute of Technology Delhi,New Delhi,Delhi,86.66,2
Indian Institute of Technology Bombay,Mumbai,Maharashtra,83.09,3
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,82.79,4
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,76.88,5
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,76.00,6
Indian Institute of Technology Guwahati,Guwahati,Assam,71.86,7
Indian Institute of Technology Hyderabad,Hyderabad,Telangana,71.55,8
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,66.88,9
Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,66.69,10
Vellore Institute of Technology,Vellore,Tamil Nadu,66.22,11
Jadavpur University,Kolkata,West Bengal,65.62,12
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,65.41,13
Anna University,Chennai,Tamil Nadu,65.34,14
Indian Institute of Technology (Indian School of Mines) Dhanbad,Dhanbad,Jharkhand,64.83,15
Indian Institute of Technology Indore,Indore,Madhya Pradesh,64.72,16
"National Institute of Technology Karnataka, Surathkal",Surathkal,Karnataka,64.27,17
Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,63.42,18
National Institute of Technology Rourkela,Rourkela,Odisha,63.38,19
"Birla Institute of Technology and Science, Pilani",Pilani,Rajasthan,63.04,20
National Institute of Technology Warangal,Warangal,Telangana,61.72,21
Indian Institute of Technology Ropar,Rupnagar,Punjab,61.56,22
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,61.29,23
Jamia Millia Islamia,New Delhi,Delhi,61.28,24
National Institute of Technology Calicut,Kozhikode,Kerala,61.19,25
Siksha `O` Anusandhan,Bhubaneswar,Odisha,60.97,26
Delhi Technological University,New Delhi,Delhi,60.78,27
Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,60.61,28
Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,60.35,29
Amity University,Gautam Budh Nagar,Uttar Pradesh,59.91,30
Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,59.86,31
Chandigarh University,Mohali,Punjab,59.82,32
Aligarh Muslim University,Aligarh,Uttar Pradesh,59.16,33
Indian Institute of Technology Patna,Patna,Bihar,58.40,34
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,58.24,35
Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,58.20,36
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,58.00,37
Shanmugha Arts Science Technology and Research Academy,Thanjavur,Tamil Nadu,57.97,38
Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,57.89,39
National Institute of Technology Silchar,Silchar,Assam,57.60,40
Institute of Chemical Technology,Mumbai,Maharashtra,56.93,41
UPES,Dehradun,Uttarakhand,56.65,42
Malaviya National Institute of Technology,Jaipur,Rajasthan,56.35,43
National Institute of Technology Durgapur,Durgapur,West Bengal,56.26,44
National Institute of Technology Delhi,Delhi,Delhi,55.67,45
Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,55.01,46
International Institute of Information Technology Hyderabad,Hyderabad,Telangana,54.29,47
Birla Institute of Technology,Ranchi,Jharkhand,54.18,48
"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,54.17,49
Lovely Professional University,Phagwara,Punjab,54.16,50
Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,53.13,51
Graphic Era University,Dehradun,Uttarakhand,52.96,52
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,52.85,53
Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,52.54,54
National Institute of Technology Patna,Patna,Bihar,52.28,55
Manipal Institute of Technology,Manipal,Karnataka,52.12,56
Netaji Subhas University of Technology (NSUT),Delhi,Delhi,51.52,57
Dr. B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,51.11,58
Sardar Vallabhbhai National Institute of Technology,SURAT,Gujarat,51.04,59
Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,50.65,60
Indian Institute of Technology Tirupati,YERPEDU,Andhra Pradesh,50.58,61
Indian Institute of Technology Jammu,Jammu,Jammu and Kashmir,50.53,62
Defence Institute of Advanced Technology,Pune,Maharashtra,50.37,63
"Manipal University, Jaipur",Jaipur,Rajasthan,50.24,64
Indian Institute of Technology Palakkad,Palakkad,Kerala,50.24,64
Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,50.05,66
PSG College of Technology,Coimbatore,Tamil Nadu,49.92,67
National Institute of Technology Meghalaya,Shillong,Meghalaya,49.82,68
Visvesvaraya Technological University,Belgaum,Karnataka,49.80,69
University of Hyderabad,Hyderabad,Telangana,49.30,70
National Institute of Technology Raipur,Raipur,Chhattisgarh,48.88,71
Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,48.86,72
Indian Institute of Technology Bhilai,Raipur,Chhattisgarh,48.80,73
International Institute of Information Technology Bangalore,Bengaluru,Karnataka,48.61,74
M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,48.33,75
Sant Longowal Institute of Engineering and Technology,Longowal,Punjab,48.22,76
COEP Technological University,Pune,Maharashtra,47.89,77
Banasthali Vidyapith,Banasthali,Rajasthan,47.86,78
National Institute of Technology Srinagar,Srinagar,Jammu and Kashmir,47.76,79
Rajiv Gandhi Institute of Petroleum Technology,Amethi,Uttar Pradesh,47.43,80
National Institute of Technology Kurukshetra,Kurukshetra,Haryana,46.79,81
National Institute of Technology Agartala,Agratala,Tripura,46.69,82
Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,46.53,83
Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,46.39,84
Indraprastha Institute of Information Technology,New Delhi,Delhi,46.32,85
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,Tamil Nadu,46.23,86
