College Name,City,State,Score,Rank
All India Institute of Medical Sciences Delhi,New Delhi,Delhi,94.46,1
Post Graduate Institute of Medical Education and Research,Chandigarh,Chandigarh,80.83,2
Christian Medical College,Vellore,Tamil Nadu,75.11,3
"National Institute of Mental Health and Neuro Sciences, Bangalore",Bengaluru,Karnataka,71.92,4
Jawaharlal Institute of Post Graduate Medical Education and Research,Puducherry,Pondicherry,70.74,5
Sanjay Gandhi Postgraduate Institute of Medical Sciences,Lucknow,Uttar Pradesh,70.07,6
Banaras Hindu University,Varanasi,Uttar Pradesh,69.54,7
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,68.81,8
"Kasturba Medical College, Manipal",Manipal,Karnataka,67.42,9
"Madras Medical College and Government General Hospital, Chennai",Chennai,Tamil Nadu,64.12,10
Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,64.10,11
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,63.72,12
"Sree Chitra Tirunal Institute for Medical Sciences and Technology, Thiruvananthapuram",Thiruvananthapuram,Kerala,63.68,13
All India Institute of Medical Sciences Rishikesh,Rishikesh,Uttarakhand,63.16,14
All India Institute of Medical Sciences Bhubaneswar,Khordha,Odisha,62.97,15
All India Institute of Medical Sciences Jodhpur,Jodhpur,Rajasthan,62.57,16
Vardhman Mahavir Medical College & Safdarjung Hospital,New Delhi,Delhi,62.36,17
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,62.00,18
King George`s Medical University,Lucknow,Uttar Pradesh,61.95,19
Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,61.62,20
Siksha `O` Anusandhan,Bhubaneswar,Odisha,61.28,21
Institute of Post Graduate Medical Education and Research,Kolkata,West Bengal,60.47,22
Datta Meghe Institute of Higher Education and Research,Wardha,Maharashtra,60.14,23
Maulana Azad Medical College,Delhi,Delhi,59.63,24
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,59.60,25
All India Institute of Medical Sciences Patna,Patna,Bihar,58.24,26
Aligarh Muslim University,Aligarh,Uttar Pradesh,58.07,27
St. John's Medical College,Bengaluru,Karnataka,58.03,28
Lady Hardinge Medical College,New Delhi,Delhi,57.80,29
Armed Force Medical College,Pune,Maharashtra,57.68,30
All India Institute of Medical Sciences Bhopal,Bhopal,Madhya Pradesh,57.66,31
University College of Medical Sciences,Delhi,Delhi,57.65,32
"Kasturba Medical College, Mangalore",Mangaluru,Karnataka,57.12,33
Institute of Liver and Biliary Sciences,New Delhi,Delhi,56.89,34
Maharishi Markandeshwar (Deemed to be University),Ambala,Haryana,56.53,35
Govt. Medical College & Hospital,Chandigarh,Chandigarh,56.53,35
Jamia Hamdard,New Delhi,Delhi,55.53,37
All India Institute of Medical Sciences Raipur,Raipur,Chhattisgarh,55.27,38
"JSS Medical College, Mysore",Mysuru,Karnataka,55.00,39
Dayanand Medical College,Ludhiana,Punjab,54.48,40
PSG Institute of Medical Sciences and Research,Coimbatore,Tamil Nadu,53.11,41
"Government Medical College, Thiruvananthapuram",Thiruvananthapuram,Kerala,52.30,42
Sawai Man Singh Medical College,Jaipur,Rajasthan,51.91,43
Medical College,Kolkata,West Bengal,51.87,44
Gujarat Cancer and Research Institute,Ahmadabad,Gujarat,51.77,45
M. S. Ramaiah Medical College,Bengaluru,Karnataka,51.76,46
Mahatma Gandhi Medical College and Research Institute,Puducherry,Pondicherry,51.02,47
Osmania Medical College,HYDERABAD,Telangana,50.99,48
Christian Medical College,Ludhiana,Punjab,50.96,49
Pandit Bhagwat Dayal Sharma University of Health Sciences,Rohtak,Haryana,50.71,50
