College Name,City,State,Score,Rank
Indian Institute of Technology Madras,Chennai,Tamil Nadu,86.42,1
"Indian Institute of Science, Bengaluru",Bengaluru,Karnataka,83.28,2
Indian Institute of Technology Bombay,Mumbai,Maharashtra,81.37,3
Indian Institute of Technology Delhi,New Delhi,Delhi,80.31,4
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,77.56,5
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,74.77,6
All India Institute of Medical Sciences Delhi,New Delhi,Delhi,74.27,7
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,71.52,8
Indian Institute of Technology Guwahati,Guwahati,Assam,69.04,9
Jawaharlal Nehru University,New Delhi,Delhi,68.53,10
Banaras Hindu University,Varanasi,Uttar Pradesh,67.56,11
Indian Institute of Technology Hyderabad,Hyderabad,Telangana,66.69,12
Jamia Millia Islamia,New Delhi,Delhi,66.00,13
"Manipal Academy of Higher Education, Manipal",Manipal,Karnataka,64.94,14
University of Delhi,Delhi,Delhi,64.81,15
Aligarh Muslim University,Aligarh,Uttar Pradesh,64.17,16
Jadavpur University,Kolkata,West Bengal,63.84,17
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,63.81,18
Vellore Institute of Technology,Vellore,Tamil Nadu,62.97,19
Anna University,Chennai,Tamil Nadu,62.77,20
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,62.07,21
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,61.79,22
"Birla Institute of Technology and Science, Pilani",Pilani,Rajasthan,60.87,23
Siksha `O` Anusandhan,Bhubaneswar,Odisha,60.73,24
University of Hyderabad,Hyderabad,Telangana,60.55,25
Calcutta University,Kolkata,West Bengal,60.25,26
Homi Bhabha National Institute,Mumbai,Maharashtra,60.13,27
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,59.94,28
Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,58.77,29
Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,58.69,30
