College Name,City,State,Score,Rank
Jamia Hamdard,New Delhi,Delhi,84.01,1
National Institute of Pharmaceutical Education and Research Hyderabad,Hyderabad,Telangana,80.29,2
"Birla Institute of Technology and Science, Pilani",Pilani,Rajasthan,78.95,3
JSS College of Pharmacy,Ooty,Tamil Nadu,77.13,4
Institute of Chemical Technology,Mumbai,Maharashtra,74.69,5
JSS College of Pharmacy,Mysore,Karnataka,72.89,6
Panjab University,Chandigarh,Chandigarh,72.76,7
"Manipal College of Pharmaceutical Sciences, Manipal",Udupi,Karnataka,72.27,8
National Institute of Pharmaceutical Education and Research Mohali,Mohali,Punjab,70.86,9
SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,69.94,10
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,68.90,11
National Institute of Pharmaceutical Education and Research Guwahati,Guwahati,Assam,68.82,12
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,68.07,13
National Institute of Pharmaceutical Education and Research Raebareli,Lucknow,Uttar Pradesh,65.53,14
National Institute of Pharmaceutical Education and Research Ahmedabad,Gandhinagar,Gujarat,64.89,15
Lovely Professional University,Phagwara,Punjab,64.73,16
Delhi Pharmaceutical Sciences and Research University,Delhi,Delhi,64.73,16
Jadavpur University,Kolkata,West Bengal,64.14,18
Chitkara University,Rajpura,Punjab,64.05,19
Chandigarh University,Mohali,Punjab,64.01,20
Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,61.78,21
Amity University,Gautam Budh Nagar,Uttar Pradesh,61.07,22
Central University of Punjab,Bathinda,Punjab,60.92,23
National Institute of Pharmaceutical Education and Research Kolkata,Kolkata,West Bengal,58.76,24
I. S. F. College of Pharmacy,Moga,Punjab,58.27,25
Maharishi Markandeshwar (Deemed to be University),Ambala,Haryana,58.24,26
Annamalai University,Annamalainagar,Tamil Nadu,58.19,27
Banasthali Vidyapith,Banasthali,Rajasthan,57.77,28
Central University of Rajasthan,Kishangarh,Rajasthan,57.65,29
Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,57.07,30
Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,56.98,31
Birla Institute of Technology,Ranchi,Jharkhand,56.75,32
National Institute Of Pharmaceutical Education And Research Hajipur,Hajipur,Bihar,56.40,33
"AU College of Pharmaceutical Sciences, Andhra University",Visakhapatnam,Andhra Pradesh,56.11,34
"Poona College of Pharmacy, Pune",Pune,Maharashtra,55.86,35
Dr D Y Patil Institute of Pharmaceutical Sciences and Research,Pune,Maharashtra,55.24,36
Nirma University,Ahmedabad,Gujarat,55.22,37
Maharshi Dayanand University,Rohtak,Haryana,54.53,38
SVKM`s Dr. Bhanuben Nanavati College of Pharmacy,Mumbai,Maharashtra,54.18,39
Noida Institute of Engineering and Technology (Pharmacy Institute),Greater Noida,Uttar Pradesh,53.55,40
N.G.S.M. Institute of Pharmaceutical Sciences,Mangaluru,Karnataka,53.35,41
"KLE College of Pharmacy, Belgaum",Belgaum,Karnataka,52.66,42
Dibrugarh University,Dibrugarh,Assam,52.16,43
Maharaja Sayajirao University of Baroda,Vadodara,Gujarat,51.93,44
Integral University,Lucknow,Uttar Pradesh,51.44,45
Punjabi University,Patiala,Punjab,51.33,46
Parul University,Vadodara,Gujarat,51.30,47
Gandhi Institute of Technology and Management,Visakhapatnam,Andhra Pradesh,51.03,48
Suresh Gyan Vihar University,Jaipur,Rajasthan,50.81,49
Galgotias University,Gautam Budh Nagar,Uttar Pradesh,50.73,50
Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur,Maharashtra,50.22,51
L. M. College of Pharmacy,Ahmedabad,Gujarat,50.02,52
G. L. A. University,Mathura,Uttar Pradesh,49.74,53
Guru Ghasidas Vishwavidyalaya,BILASPUR (Chhattisgarh),Chhattisgarh,49.65,54
Guru Jambheshwar University of Science and Technology,Hisar,Haryana,48.98,55
R. C. Patel Institute of Pharmaceutical Education and Research,Shirpur,Maharashtra,48.75,56
Amar Shaheed Baba Ajit Singh Jujhar Singh Memorial College,Bela,Punjab,48.51,57
PSG College of Pharmacy,Coimbatore,Tamil Nadu,48.08,58
Mohan Lal Sukhadia University,Udaipur,Rajasthan,47.03,59
Sri Padmavathi Mahila Visvavidyalayam,Tirupati,Andhra Pradesh,46.63,60
Smt. Kishoritai Bhoyar College of Pharmacy,Nagpur,Maharashtra,46.37,61
"Kumaun University, Nainital",Nainital,Uttarakhand,46.34,62
Acharya Nagarjuna University College of Pharmaceutical Sciences,Guntur,Andhra Pradesh,46.10,63
Vels Institute of Science Technology and Advanced Studies (VISTAS),Chennai,Tamil Nadu,46.00,64
Nandha College of Pharmacy,Erode,Tamil Nadu,45.50,65
Chandigarh College of Pharmacy,Landran,Punjab,45.30,66
Krishna Vishwa Vidyapeeth,Karad,Maharashtra,45.13,67
M.S. Ramaiah University of Applied Sciences,Bengaluru,Karnataka,45.02,68
Sharda University,Greater Noida,Uttar Pradesh,44.75,69
Gujarat Technological University,Ahmedabad,Gujarat,44.33,70
Anurag University,Hyderabad,Telangana,44.22,71
Dr. Vishwanath Karad MIT World Peace University,Pune,Maharashtra,43.74,72
Bombay College of Pharmacy,Mumbai,Maharashtra,43.72,73
Bundelkhand University,Jhansi,Uttar Pradesh,43.66,74
Guru Nanak Institute of Pharmaceutical Science and Technology,Kolkata,West Bengal,43.66,74
Y. B. Chavan College of Pharmacy,Aurangabad,Maharashtra,43.49,76
