College Name,City,State,Score,Rank
"Indian Institute of Science, Bengaluru",Bengaluru,Karnataka,84.98,1
Indian Institute of Technology Madras,Chennai,Tamil Nadu,83.29,2
Indian Institute of Technology Delhi,New Delhi,Delhi,81.08,3
Indian Institute of Technology Bombay,Mumbai,Maharashtra,77.75,4
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,72.65,5
Homi Bhabha National Institute,Mumbai,Maharashtra,70.11,6
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,70.04,7
All India Institute of Medical Sciences Delhi,New Delhi,Delhi,67.43,8
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,66.78,9
Indian Institute of Technology Guwahati,Guwahati,Assam,64.94,10
Academy of Scientific and Innovative Research,Ghaziabad,Uttar Pradesh,64.20,11
Tata Institute of Fundamental Research,Mumbai,Maharashtra,60.54,12
Vellore Institute of Technology,Vellore,Tamil Nadu,60.28,13
University of Delhi,Delhi,Delhi,60.07,14
Indian Institute of Technology Hyderabad,Hyderabad,Telangana,59.96,15
Banaras Hindu University,Varanasi,Uttar Pradesh,58.52,16
Anna University,Chennai,Tamil Nadu,58.39,17
Jawaharlal Nehru University,New Delhi,Delhi,56.43,18
Jamia Millia Islamia,New Delhi,Delhi,56.12,19
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,55.85,20
Jadavpur University,Kolkata,West Bengal,54.85,21
Indian Institute of Technology (Indian School of Mines) Dhanbad,Dhanbad,Jharkhand,54.77,22
"Manipal Academy of Higher Education, Manipal",Manipal,Karnataka,54.31,23
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,53.34,24
Aligarh Muslim University,Aligarh,Uttar Pradesh,53.29,25
"Birla Institute of Technology and Science, Pilani",Pilani,Rajasthan,53.06,26
Indian Institute of Technology Indore,Indore,Madhya Pradesh,52.70,27
University of Hyderabad,Hyderabad,Telangana,51.90,28
Indian Institute of Science Education and Research Pune,Pune,Maharashtra,51.53,29
National Institute of Technology Rourkela,Rourkela,Odisha,51.16,30
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,50.94,31
Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,50.78,32
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,50.38,33
Jawaharlal Nehru Centre for Advanced Scientific Research,Bengaluru,Karnataka,50.06,34
Panjab University,Chandigarh,Chandigarh,49.73,35
Calcutta University,Kolkata,West Bengal,48.57,36
Indian Agricultural Research Institute,New Delhi,Delhi,48.55,37
Indian Institute of Science Education and Research Kolkata,Mohanpur,West Bengal,47.31,38
Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,47.30,39
Institute of Chemical Technology,Mumbai,Maharashtra,46.83,40
Bharathiar University,Coimbatore,Tamil Nadu,46.79,41
"National Institute of Technology Karnataka, Surathkal",Surathkal,Karnataka,45.41,42
"National Institute of Mental Health and Neuro Sciences, Bangalore",Bengaluru,Karnataka,45.18,43
Lovely Professional University,Phagwara,Punjab,45.01,44
Indian Institute of Technology Ropar,Rupnagar,Punjab,44.99,45
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,44.64,46
Amity University,Gautam Budh Nagar,Uttar Pradesh,44.57,47
Bharathidasan University,Tiruchirappalli,Tamil Nadu,44.41,48
Indian Institute of Science Education and Research Mohali,Mohali,Punjab,44.09,49
Siksha `O` Anusandhan,Bhubaneswar,Odisha,43.87,50
