College Name,City,State,Score,Rank
"Indian Institute of Science, Bengaluru",Bengaluru,Karnataka,83.29,1
Jawaharlal Nehru University,New Delhi,Delhi,69.80,2
Jamia Millia Islamia,New Delhi,Delhi,68.11,3
"Manipal Academy of Higher Education, Manipal",Manipal,Karnataka,67.18,4
Banaras Hindu University,Varanasi,Uttar Pradesh,66.05,5
University of Delhi,Delhi,Delhi,65.90,6
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,65.73,7
Aligarh Muslim University,Aligarh,Uttar Pradesh,65.57,8
Jadavpur University,Kolkata,West Bengal,65.39,9
Vellore Institute of Technology,Vellore,Tamil Nadu,64.79,10
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,64.62,11
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,64.56,12
Anna University,Chennai,Tamil Nadu,63.85,13
Siksha `O` Anusandhan,Bhubaneswar,Odisha,62.61,14
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,62.53,15
Homi Bhabha National Institute,Mumbai,Maharashtra,62.31,16
University of Hyderabad,Hyderabad,Telangana,62.18,17
Calcutta University,Kolkata,West Bengal,61.10,18
"Birla Institute of Technology and Science, Pilani",Pilani,Rajasthan,60.03,19
Chandigarh University,Mohali,Punjab,59.96,20
Kerala University,Thiruvananthapuram,Kerala,58.48,21
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,57.98,22
Savitribai Phule Pune University,Pune,Maharashtra,57.96,23
JSS Academy of Higher Education and Research,Mysuru,Karnataka,57.74,24
Andhra University,Visakhapatnam,Andhra Pradesh,57.67,25
Bharathiar University,Coimbatore,Tamil Nadu,57.26,26
Lovely Professional University,Phagwara,Punjab,56.92,27
Shanmugha Arts Science Technology and Research Academy,Thanjavur,Tamil Nadu,56.81,28
Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,56.72,29
Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,56.71,30
Symbiosis International,Pune,Maharashtra,56.41,31
Amity University,Gautam Budh Nagar,Uttar Pradesh,56.14,32
Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,56.03,33
Cochin University of Science and Technology,Cochin,Kerala,55.95,34
Institute of Chemical Technology,Mumbai,Maharashtra,55.67,35
Bharathidasan University,Tiruchirappalli,Tamil Nadu,55.60,36
Mahatma Gandhi University,Kottayam,Kerala,55.18,37
Panjab University,Chandigarh,Chandigarh,55.11,38
University of Madras,Chennai,Tamil Nadu,55.03,39
Jamia Hamdard,New Delhi,Delhi,54.86,40
Gauhati University,Guwahati,Assam,54.86,40
Datta Meghe Institute of Higher Education and Research,Wardha,Maharashtra,54.71,42
Osmania University,Hyderabad,Telangana,54.69,43
Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,54.59,44
University of Kashmir,Srinagar,Jammu and Kashmir,54.43,45
UPES,Dehradun,Uttarakhand,54.02,46
Alagappa University,Karaikudi,Tamil Nadu,53.84,47
Delhi Technological University,New Delhi,Delhi,53.31,48
SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,52.43,49
University of Jammu,Jammu,Jammu and Kashmir,52.33,50
Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,52.16,51
Graphic Era University,Dehradun,Uttarakhand,52.01,52
King George`s Medical University,Lucknow,Uttar Pradesh,51.10,53
Mysore University,Mysuru,Karnataka,51.04,54
Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,50.86,55
Periyar University,Salem,Tamil Nadu,50.36,56
Punjab Agricultural University,Ludhiana,Punjab,50.32,57
Tata Institute of Social Sciences,Mumbai,Maharashtra,50.20,58
Acharya Nagarjuna University,Guntur,Andhra Pradesh,50.06,59
Christ University,Bengaluru,Karnataka,49.87,60
Mumbai University,Mumbai,Maharashtra,49.86,61
Shiv Nadar University,Gautam Buddha Nagar,Uttar Pradesh,49.80,62
Madurai Kamaraj University,Madurai,Tamil Nadu,49.72,63
"Manipal University, Jaipur",Jaipur,Rajasthan,49.50,64
"Jain University, Bangalore",Bengaluru,Karnataka,49.47,65
NITTE,Mangaluru,Karnataka,49.45,66
Banasthali Vidyapith,Banasthali,Rajasthan,49.38,67
Sri Balaji Vidyapeeth Mahatma Gandhi Medical College,Puducherry,Pondicherry,49.14,68
Tezpur University,Tezpur,Assam,49.01,69
Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,48.82,70
Maharishi Markandeshwar (Deemed to be University),Ambala,Haryana,48.67,71
"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,48.45,72
Bharath Institute of Higher Education and Research,Chennai,Tamil Nadu,48.36,73
International Institute of Information Technology Hyderabad,Hyderabad,Telangana,48.32,74
Visvesvaraya Technological University,Belgaum,Karnataka,48.10,75
Gujarat University,Ahmedabad,Gujarat,48.04,76
Mizoram University,Aizawl,Mizoram,48.03,77
Bharati Vidyapeeth,Pune,Maharashtra,47.94,78
Chettinad Academy of Research and Education,"Kelambakkam, Chengalpattu District",Tamil Nadu,47.80,79
Guru Gobind Singh Indraprastha University,New Delhi,Delhi,47.66,80
Bangalore University,Bengaluru,Karnataka,47.45,81
Birla Institute of Technology,Ranchi,Jharkhand,47.31,82
Central University of Punjab,Bathinda,Punjab,47.11,83
Tamil Nadu Agricultural University,Coimbatore,Tamil Nadu,47.03,84
Sant Longowal Institute of Engineering and Technology,Longowal,Punjab,46.90,85
Sharda University,Greater Noida,Uttar Pradesh,46.88,86
Sri Venkateswara University,Tirupati,Andhra Pradesh,46.65,87
G.B. Pant Universtiy of Agriculture and Technology,Pantnagar,Uttarakhand,46.64,88
